	id	tweet	subtask_a
5726	6670	6 γυναίκες δίπλα και δεν θα μπορούσα να πηδήξω καμία... Μπάζα	OFF
5727	3441	Οι γύφτοι θα πάρουν τα φράγκα.. θα πάνε για το χαβαλέ στις συγκεντρώσεις.. και την Κυριακή θα πάνε να πουλήσουν Καρπούζια... Στη σμπούτσα τους οι #εκλογες2019 #ερχεται_ΠΟΥΤΣΑ	OFF
5729	4102	Αμετροεπεις, Φανφαρόνοι, Βερμπαλιστές που θεωρείτε τόσα εκατομμύρια ότι ήμασταν ηλίθιοι #Συριζα_ξεφτιλες	OFF
5730	610	#survivorgr Μα πόσο μαλάκες είστε; Πόσες φορές ακόμα σκοπεύετε να μας δείξετε τον τραυματισμό του Χικμέτ;	OFF
5732	280	@USER Πουτανα Οβιέδο 3 γκολ σε 10 λεπτά ρε πόρνη	OFF
5736	3819	@USER Μήπως είσαι πουσταρα;	OFF
5744	3909	Νιωθω αμήχανα με την βλακεία που τη δέρνει #ShoppingStar	OFF
5748	8767	Κατια μου αυτο που θα επρεπε να σε προβληματιζει ειναι οτι εισαι μια γαμημενη καργιολα #gntmgr	OFF
5752	7346	Μωρή Μαρτίνα και η Κάτια πήγε να κάτσει κάτω αντε γαμηθητε πια όλες μαζί.. Τόσο θέλω να σταματήσω να το βλέπω πραγματικά #gntmgr	OFF
5758	1764	@USER Επίσης είσαι άσχετος αυτό το είχε χρησιμοποιήσει στις χαμηλές πτήσεις όχι δεν με νοιάζει να το κατεβάσω γιατί γουστάρω να σας μπαίνω στο ρουθούνι όλων εσάς μπετοβλακα	OFF
5765	3315	Αυτά με τον @USER. Τι θέλατε να γίνει μωρέ μαλάκες; Εκεί πας, γαμάς και φεύγεις. Αυτό. Βιζιτάκια καλά.	OFF
5771	7432	Το παντελόνι στα σκουπίδια το βρήκε; #TheVoiceGR	OFF
5788	7619	Αααχχχ τα παλια τα ωραια χρονια εδω μεσα, μεχρι και της τελευταιας παρθενας (χιχιχι) τα μουνοχειλα βαραγανε παλαμακια απο τα καυλαντα..και με παντρεμενους και με μαλακες και και και...τα θυμαμαι εγω αυτα..	OFF
5789	6937	Η Έλενα μπροστά στις τσοκαριες αυτές φαίνεται τουλαχιστον κοκο Σανέλ #gntmgr	OFF
5790	6499	@USER Μια χαρά βαράνε γυναίκες. Αλλά για την συγκεκριμένη θέλει 5-6 από αυτούς για να αποκτήσει ενδιαφέρον. Βλέπω βέβαια λες σε ενοχλούν και τα δύο άκρα αλλά αμέσως να υπερασπίσεις την τιμή του δικού σας άκρου. Περίεργο.	OFF
5791	4831	Κανονιστε ζαβα μη πατε και καρφωθητε πουθενα ... Σουζανα σε σενα μιλαω #GntmGr	OFF
5792	8058	Έτοιμη για το playboy η Σουζάνα.. #gntmgr	OFF
5799	1706	@USER Βέβαια πάλι άμα είσαι άντρας πρέπει να ξέρεις να το παίζεις και άντρας.. Οπότε εσένα μαλάκα αν θα σε έλεγα θα ήταν για τις επιλογές σου μάλλον. Αν είμαστε μαλάκες είμαστε, δεν αλλάζει αυτό	OFF
5802	1593	Μαδομούνι εν όψει! #shoppingstar	OFF
5807	214	@USER Ε ρε να δεις που η πουτάνα η ζωή θα τον φέρει και κάτω από το 23% και να τον παραιτούν με τα χίλια ζόρια τα σιντρόφια!	OFF
5809	9455	@USER Ο Μπογδάνος είναι μαλάκας, γιατί από Ιούλιο έως Οκτώβριο 2015, είχαμε έως και 5.000 αφίξεις την ημέρα στη Λέσβο.	OFF
5812	6924	@USER Τι θες μωρή αλόγα	OFF
5817	4184	@USER Οι θεοι να εξηγησουν γιατι υπαρχετε ατην κυβερνηση της χωρας αφου ειστε πολλα κιλα μαλακες.	OFF
5820	9227	@USER Μη με παρεξηγησεις αλλά πραγματικά νε ενδιαφέρει: Πότε συνειδητοποιείς ότι σταματάς να είσαι μαλακας με ναρκωτικά και γίνεσαι μαλακας χωρις ναρκωτικά; ... Παιρνει χρόνο και προσπάθεια; Και τελικά, μήπως είναι καλύτερα να είσαι μαλακας χωρις ναρκωτικά;	OFF
5824	5155	@USER Αυτοί οι μαλάκες βγήκανε με κύριο σύνθημα τη μείωση της φορολογίας και συνεχίζουν το οθωμανικό χαράτσωμα.	OFF
5826	1091	Φάγανε φάγανε φάγανε φάγανε και θέλουν να ξαναφάνε. Η συνήθεια βλέπεις, είναι η δεύτερη φύση του ανθρώπου. Χαζογελάνε περιμένοντας σα τη πουτάνα που θέλει να κρυφτεί και η χαρά δεν την αφήνει. Εσύ θα τους αφήσεις;	OFF
5828	4826	Απορια: Τωρα που η Σκατια ειναι μεσα στο παιχνιδι ποιος βοηθαει οικονομικα την οικογενεια της (συμφωνα με τα λεγομενα του Σκουλου) ; Βρειτε το ψεμα εεεε το λαθος ηθελα να πω #gntmgr	OFF
5834	5812	@USER Τι είναι μισαλλόδοξο ρωτάει ο Κυρανάκης; Της μάνας του, το μουνί είναι η απάντηση.	OFF
5837	2980	Εκεί στην ΑΕΚ για να μην ξεχνιόμαστε μαλάκα Μελισανίδη που τον βρήκες αυτόν το πουθενά πάλι γαμώ την πουτάνα μου. Βλέπω ότι και φέτος για τον πούτσο θα είμαστε.	OFF
5844	9684	Εμ, είστε που είστε ηλίθιοι, πάτε στα τηλεπαιχνίδια και ξεφτιλίζεστε. #kalomesimeraki	OFF
5847	1936	@USER Καλα σου εκανε. Αφου εισαι βλακας. Φαντασου ουτε ο Αδωνις δεν αντεχει τις μαλακιες σου.	OFF
5869	3917	"""Θέλω να ακούσω τη φωνουλα σου μω'ακι μου"". -Βαλε γιουτουμπ - σκουπιδιαρα κομπιλέισο, τέτοιος μαλακας είναι ΚΙ ΑΚΙΥΣΟΝ ΑΚΟΥΣΟΝ ΠΑΡΕΞΗΓΗΘΗΚΕ Η ΑΛΛΟΠΡΟΣΑΛΗ"	OFF
5870	1489	δεν μας έφτανε το #shoppingstar και τα παλιομάγαζα που στέλνει τις ζαβές, μας διαφημίζουν και online τα πατσαβούρια! MUTE!	OFF
5873	6678	Η Ασημινα αισθάνεται τόσο υπέροχα, η Κάτια νιώθει έξαψη, η Μαρίνα νιώθει γαλήνια, η Χαρά το απολαμβάνει κοκ.. Δε λένε ότι κοντεύουν να πεθάνουν από το άγχος τους. Υποκριτριες #GNTMgr	OFF
5877	6168	@USER Μωρη στραβη	OFF
5879	3344	Ειναι τοσο μαλακας ο γιδοβοσκος.....	OFF
5881	5583	Όχι αλλά καταλαβαίνουμε τι μαλακας είσαι εσυ που ενώ τα νησιά είναι ετοιμα να εκραγούν μοιράζεις σανό χωρίς να μας λες τι θα γίνει στα νησιά αν δεν μεταφερθούν στην ενδοχώρα.	OFF
5887	1367	@USER Τα αρχιδια μας παίρνουμε σίγουρα με κάτι τέτοια...	OFF
5888	4043	Η νέα γενιά, απ' ό,τι αποδεικνύεται, είναι αμόρφωτη. #giatinparea	OFF
5891	4268	@USER ξέρεις άντρες είμαστε ε έχουμε και δικαιώματα δε θα μας έχετε κλειδωμένους στο πλυσταριό και όποτε σας γκαβλωσει να μας ρίχνετε και κανα μουνι κάπου ώπα με τη μητριαρχία	OFF
5895	4056	@USER Δεν θα είναι από νησί μωρέ μην είσαι κ τόσο σκληρή εσύ ...ε μα τους Μαλακες αγκάθια σοβαρά τώρα ;	OFF
5897	4356	@USER Ψυχραιμία. Ακόμα πιστεύουν πως βγήκαν με αυτοδυναμία. Ο Έλληνας είναι μαλάκας αλλά όχι ηλίθιος. Ξανά τα παπάρια μας θα πάρουν και θα το ρίξουν στις πωλήσεις και νερού του Καματερού. Ψυχραιμία.	OFF
5899	6323	@USER Άντε γαμήσου μωρή άκληρη νεοταξίτισα.	OFF
5903	9157	#gntmgr Κάτια το καταλάβαμε οτι εισαι βιζιτού....	OFF
5904	5555	Γιατι εσύ δεν είσαι ύπουλη; Αη μαρη #gntmgr	OFF
5905	270	@USER Τι λεβέντη; Ειναι ναζι σκουπίδι ! Και εσύ είσαι ναζι μποτ λογαριασμό	OFF
5909	6511	φαίνομαι οτι όλα στ' αρχίδια μου και τα σχετικά, ενώ στην πραγματικότητα είναι και λίγο στη μπούτσα μου	OFF
5911	4436	@USER κλασσικα...ναζια η δημητρα,και καλα σκληρη η κατ...θα τα βρουν και θα μεινει παλι μαλακας ο Σπυρος με τον Γιουσουφ...	OFF
5920	1912	Ορεστη αει στο διαολο κι εσυ #hepistrofi	OFF
5922	4192	@USER Μα τη μπαναια δε ξέρω αν ΕΣΥ είσαι ΤΟΣΟ μαλκισμενη η αν θεωρείς τους υπόλοιπους μαλακες.ομολογω με ιντριγκάρει περισσότερο το πρώτο.	OFF
5926	1680	"@USER Καλά είσαι εντελώς χαζός ; Τι προτείνεις ; 100% συμμετοχή όλων σε όλες τις αποφάσεις για όλα τα θέματα αλλιώς ""αποφασίζουν άλλοι για σένα"" ; Έχετε αποβλακωθεί εντελώς ;"	OFF
5928	6891	Η χρόνια δεν τελείωσε, αλλά το αρχιδι της χρονιάς ξέρουμε ήδη ξεκάθαρα ποιος είναι.	OFF
5930	6802	Αυτα που σχολιαζουν στην καμερα δεν ειναι μετα το γυρισμα; Τι δουλεια εχει εκει η βρωμιαρα Μαρτινα που υποτιθεται λιποθυμισε και την μαζεψαν με το φορειο; #gntmgr	OFF
5932	7195	@USER όταν το σπουδαιότερο που έχεις κάνει είναι να κοιτάς τη ζωή των άλλων και να βγάζεις απίστευτη ζήλεια και χολή αντί να βρεις μια κανονική δουλίτσα να δώσεις στα παιδιά σου ό,τι δε σου έδωσαν οι γονείς σου και μας πρήζεις τα αρχίδια στο τουίτερ	OFF
5933	4649	Ζαιοι κ χρυσαύγουλα: κάνουν ορθογραφικά λάθη ακόμα κ στο ρτ. Σαν 2 σταγόνες νερό μοιάζουν οι πούστηδες.	OFF
5935	4758	#antistrofimetrisi_skai ΜΠΡΆΒΟ δελατολα μόλις αποκάλυψες ότι εισαι σκυβαλο και προσπάθησες λες να χειραγωγήσεις δημοσκόπηση ΜΠΡΆΒΟ πουλημένε γι'αυτό το ποντίκι το αφανισες τσιράκι του τσιπρα	OFF
5938	3235	@USER Είσαι μλκ αγόρι μου; Τι αηδιες λες;	OFF
5940	3483	@USER Ρε συ θα πρέεπει να είσαι πολύ ψυχοπονιάρα με τέτοιο βυζί..! Θέλω τη μαμά μου..	OFF
5944	9345	η Σουζάνα είναι αγγούρο #GNTMgr	OFF
5949	1418	@USER εγω ειμαι ακομπλεξαριστη δεν εχω να αποδειξω τιποτα σε κανεναν δν ειμαι σοβαροφανης.εσυ εισαι για λυπηση που εβγαλες το συμπερασμα οτι ο κοσμος λυπηθηκε τον Κυμπουροπουλο αθλια κ ηλιθια αντε γυρνα στα ρειθρα κ βουλωστο τελειωσατε αρκετα σας φαγαμε στη μαπα πυροβολημενα	OFF
5950	345	Ο τρόπος με τον οποίο χειρίζονται το ζήτημα απλά απαξιώνει τις όποιες διεκδικήσεις μας και προσβάλει τα θύματα. Η ξεφτίλα τους δεν έχει πάτο. #ΞΑΝΑΕΡΧΕΤΑΙ #Γερμανικες_επανορθωσεις	OFF
5951	8119	Άντε γειά Ογκουνσότο. Κουραστήκαμε και να σε κράζουμε. Πούλο τώρα #gntmgr	OFF
5954	10257	@USER Μωρη καύλα	OFF
5956	8659	Η ανώμαλη η γυναίκα θα τρέξει πίσω από αυτόν που την γράφει στα παπάρια του γνωστό αυτο	OFF
5962	5880	Θέλω να στείλω τη Σουζάνα στην πατρίδα της να την κυνηγάνε τα λιοντάρια και να προσπαθεί να κανει πόζα fabulous #GntmGr	OFF
5970	9570	Τα κοριτσια φωτο με τις κοτες και οι κριτες κανουν τις κοτες! Αντι να πεταξουν εξω την Σκατια, το περνανε στο ντουκου. Αισχος!#gntmgr	OFF
5971	439	@USER Ποιος μαλακας πηγε και το εγραψε αραγε;	OFF
5972	817	@USER Βάλε διαιρέτη. Πούτσα λέγεται και προκύπτει απ τα δεινά που περάσαμε 5 χρόνια μαζί του. Με όση ξεφτίλα πέρασε η χώρα και όσοι ζουν σε αυτήν απ τη γαμωδηθενιά σας, επαναστάτες της κωλάρας. Και διαίρεσε τους ανθρώπους απ τα κομματικά ζώα. Γιατί δεν έχασες από ΝΔ. Τις εκλογές εχασες	OFF
5975	1729	τι τραβάνε κι αυτές οι ινφλούενσερ πρωί πρωί τραβιούνται να ντύνονται μια μαγείρισσες μια ναυαγοσώστριες δώστου φάε μπάρα φάε τσία φάε αρχίδια	OFF
5976	2234	Μην ερωτεύεστε συνέχεια ρε μαλάκες, έχουν εξαφανιστεί οι πεταλούδες.	OFF
5980	9100	Θα φας Σοφό κλάσιμο στ'αρχίδια	OFF
5981	2607	καλο το ποδοσφαιρο αλλα στειλτε τα παιδια σας σε καποια θεατρικη ομαδα ολοι οι δημοι εχουν, δε θα γινει αδερφη ο γιος σου αν ειναι μελος θεατρικης ομαδας	OFF
5982	10260	Γιατί Γκαγκακη, είστε για πιο σοβαρά θέματα μωρή ηλιθια; Το προηγούμενο θέμα είδες πώς το γελοιοποιησατε; Μόνο για τέτοια είστε, τι παραπονιέστε; Είστε ελεεινοί και τρισάθλιοι. #mesimeri_skai	OFF
5984	5852	δεν ξερω τι ειπε ο #κυρανακης. βαρεθηκα ομως να ακουω μ* απο ζαιους ντορες=επειδη οι ελληνες δε θελουν να ναι μειοψηφια στην ιδια τους τη χωρα απο το #μεταναστευτικο τους αποκαλουν ρατσιστες, ενω ηεχει χοντρο προβλημα ισα #ΣΥΡΙΖΑ_ξεφτιλες #ΝΔ_ξεφτιλες	OFF
5986	8668	ΕοΡΤο μούνια κο μούνια να κατακρεουργηθούν μπροστά στο Μνημείο έρτ τώρα	OFF
5988	999	Ο παλιος μου συμμαθητης απο το σχολείο παντρεύεται. Ε ρε να πάω στον γάμο και να είναι και οι άλλοι οι μαλακες εκεί.	OFF
5991	8995	@USER Αν υπήρχε ακόμα θα ήταν πιο σφιγμένοι μερικοί κώλοι. Όχι όπως σήμερα, που ο κάθε μαλάκας κάνει κηρύγματα μίσους και ρατσισμού. Κι οι μπάτσοι πιο προσεκτικοί. Μην μπουκάρουν πάλι σε κάνα τμήμα και κλειδώσουν τα γίδια όπως στον Βύρωνα.	OFF
6014	5188	Παλι για το χωριό μωρή μαλάκω Ασημίνα; Δεξου ότι σε πέρασε και βούλωσε το #GNTMgr	OFF
6015	7262	όσο μεγάλη είναι η πουτσα τόσος μεγάλος θα είναι και ο έρωτας	OFF
6021	1987	Κακομοίρα Λίλιαν, νομίζεις ότι θα σε βοηθήσει η Κάτια.Κοιμησου καιι η τυχη σου δουλεύει, καργια #GynaikaXwrisOnoma	OFF
6023	5902	Αννα μαρια οποια δεν σου κανει διωχνε την καριολα μη κολλας #gntmgr	OFF
6031	176	Μαλέλη Αντε γαμησου βλάκα.	OFF
6036	1872	@USER Είσαι βλαμμένη αλλά παρόλα αυτά δεν είναι σωστή ούτε καν η σκέψη για αυτοκτονία για κανέναν λόγο.	OFF
6038	7679	Ειδα το βιντεο με την πορεια των μαθητων στα Γιαννιτσα. Δυο συμβουλες εχω να δωσω, μην ειστε ηλιθιοι σαν τους γονεις σας και μην κρεματε την τσαντα στην πλατη τοσο χαμηλα, να σφιγγετε τα λουρια θα εχετε προβλημα με τη μεση σας σε μερικα χρόνια	OFF
6041	246	@USER Ρατσισμό απο τους πιο παλιούς μετανάστες με ρατσιστικές εκβολές, κοινωνικός ρατσισμός απο τούς ντόπιους όταν πας Ελλάδα! Αυτά είναι. Δεκτή η συγγνώμη.	OFF
6046	5608	Κοπελιά και να κερδίσει, ούτε την καριέρα της Καζαριαν δεν θα κάνει. Εχεσαν οι Χαντιντ και βγήκε αυτή. #gntmgr	OFF
6051	3855	@USER Αγαπητε να διαβασεις την διακριση εξουσιων του Μοντεσκιε. Και τι στο πουτσο σχεση εχω εγω με τη κυβερνηση και δικαιοσυνη.	OFF
6054	9239	Αυτή που βάφει την κάτια δεν μπορεί κατά λάθος να τις χώσει το αιλαινερ στο μάτι; ε; λέω εγώ τώρα... #GNTMgr	OFF
6055	2088	«Παρατράγουδα» με παπά και βουλευτή του ΣΥΡΙΖΑ στη Χίο: «Πάρε τα 30 αργύρια για τα οποία πούλησες τη Μακεδονία» #ΣΥΡΙΖΑ_ξεφτιλες #ΣΥΡΙΖΑ #Εκλογές #εκλογες2019	OFF
6057	938	@USER Η ταινία αγωνίας,μετατράπηκε προφανώς σε πορνό, αφού πήρατε τα αρχιδια μου	OFF
6062	2219	Γωγουλίνι; Σάλτα γαμησουλίνι! #shoppingstar	OFF
6069	6114	@USER Χρήσιμος ηλίθιος, ούτε ο ίδιος δεν πρέπει να πιστεύει ποσό μαλακας είναι	OFF
6072	2767	@USER Φωτιά να σας κάψει παλιό μαλακες του κερατά!	OFF
6073	8394	@USER σου γαμω τη μανα παλιο πουτανα	OFF
6081	10118	Να έχει και η γυναίκα δικαιώματα. Σε όλα τα πράγματα όχι όμως ίσα. Άγνωστος Έλληνας 2000	OFF
6083	451	Από δω και πέρα αυτά θα τα ζήσουμε ....περαστικά σας ηλίθιοι μεσοαστοί (όπως λέμε ...λίγο μαλάκες)	OFF
6084	1834	@USER ΑΝΤΕ ΣΤΟ ΔΙΑΟΛΟ ΓΙΑΝΝΑΚΙΔΗ ΕΣΥ ΚΑΙ Η ΦΑΣΙΣΤΟΠΑΡΕΑ ΣΟΥ ΝΔ.ΑΝΤΕ ΣΤΟ ΔΙΑΟΛΟ ΚΑΘΑΡΜΑ.	OFF
6085	4194	@USER Εύχομαι να δει το tweet σου και να καταλάβει ποσό μαλακας είναι που έφτασε 60 ετών και πουλάει ειρωνία .	OFF
6086	4561	@USER Ρε μαλακες δε θα μαφησετε αντερο μεχρι τις εκλογες θα στερεψετε απο μπινελικια η πλακα ειναι οτι θιγονται κιολας	OFF
6090	8636	@USER Αφού πάνε μεταξύ τους, δεν έχουν ανάγκη την γυναίκα. .Στο Πακιστάν λέει βιάζουν και κότες..	OFF
6091	2256	τι λεει τουτο το ΚΟΠΡΑΝΟ απο τον βοθρο των #νδ_ξεφτίλες ;!	OFF
6092	5488	Αχ Κατια μου τη δικη μας απογνωση να δεις οταν βλεπουμε τη μαπα σου #gntmgr	OFF
6105	3888	@USER Να κάνει ντιμπειτ με τον τελειωμένο, γιατί; Για να τάζει ο Τσίπρας τον ουρανό με τα άστρα, ξέροντας πως έχει, και να παρασύρει τον Μητσοτάκη σε παροχολογια; Ή να φανεί άπλας ο πεθαμένος κι εγκρατής ο επόμενος; Για μαλακες ψάχνετε; #ΞΑΝΑΕΡΧΕΤΑΙ #ΣΥΡΙΖΑ_ξεφτιλες	OFF
6112	10101	Τα αρχίδια της Νέας Δημοκρατίας βγαίνουν και πουλάνε πνεύμα όπως το λέω τα αρχίδια της Νέας Δημοκρατίας	OFF
6116	1136	@USER Ρε μαλακα σου μηλαει κανεις; Τραβα τα αρχιδια σου! Δε γουσταρεις μπλοκ τη μου πριζεις το μ.....ι!	OFF
6117	1558	Αλεξη από την αρχή μέχρι το τέλος ΜΑΛΑΚΙΕΣ. 30 Ιουνίου έχει DISTURBED. Νωρίτερα έχει colour day festival. Σπάσε μας τα αρχιδια και αλλο μπορεις. #ekloges2019	OFF
6119	4094	@USER καλά μαλάκας είσαι; τι έχει το μωράκι;	OFF
6122	4969	- Φαίνεσαι πανέξυπνη γυναίκα, με οξυδέρκεια - Η αλήθεια είναι πως αμέσως σε έκοψα για μαλάκα	OFF
6123	7979	#kokkinopotami γουρούνια όλοι, μόλις βρουν μια καινούργια τις ξεχνάνε τις υποσχέσεις τους. Φτου.	OFF
6124	7873	καταλαβατε τι ουγκανα ειναι,ποση φαντασια εχουν και τι λενε στον κοσμο.αλλα δεν επιτρεπει λεει σε κανεναν να τον λεει ρατσιστη.βεβαια τα ακουσε γερα απο τον στρατακη.ο μαλακας ο παπαδακης του ειπε του στρατακη,αφου αντιδρας θα σου πουν να τους παρεις σπιτι σου.	OFF
6125	6790	Οι νοικοκυραίοι εθνικιστές ρατσιστές που διαμαρτύρονται σε ΕΡΤ1 -TV για τους πρόσφυγες Υποστηρίζουν την πολεμική εμπλοκή της Ελλάδας με ΝΑΤΟ	OFF
6129	7936	@USER Ποιοί πούστηδες; Δεν μιλάγαμε για ομοφυλοφιλία. Αλλα λογικό οταν είσαι μισογύνης να εισαι και ομοφόβος. Και φασισταριό ειναι όποιος βριζει τις γυναικες γιατί υπάρχουν.	OFF
6131	9430	Όταν η καυλα έχει πρόσωπο #gntmgr	OFF
6132	8723	Δεν πιστεύω να μην ήταν για μένα αυτό το αμενσιωτο, και τζάμπα να έξυσα το μουνι μου. Ω μοντιε	OFF
6137	895	@USER Το καλυτερο αλλα δεν μας δινουν οι πουστηδες λιγο απο αυτο που πινουν	OFF
6138	5159	Δεν πα να 'χεις 28 πτυχία, 17 μεταπτυχιακά και 9 διδακτορικά, αν εισαι μαλάκας, μαλακας θα μείνεις	OFF
6139	7807	Πως γίνεται να γλιτώνουν πάντα γαμω τα βύσματα; #XFactorGR	OFF
6144	8028	Η Κατια έκατσε πρωτη κατω, βλαμμενη Μαρτινα! #gntmgr	OFF
6147	7079	"Εσείς το ξερατε πως αν πεις στ αφεντικό ""άι σιχτίρ παπαρα πρωι πρωι"" μετά δεν έχεις αφεντικό;"	OFF
6148	2501	@USER Κανε τον ρομπα τον ξεφτιλα	OFF
6150	1117	@USER Αδελφακι εχεις δικιο.....κατι η ηλικια κατι το αλτσχαιμερ......δε πανε στο διαολο τα Γιδια.......	OFF
6155	5794	@USER ρε μαλάκες μεθυσμένοι είστε; Εσύ έδινες +7 πριν	OFF
6157	8324	#gntmgr λίγο μαλακιες τα ρούχα κύριε Μπρατη μου ε;	OFF
6159	4574	@USER Συριζομπητ ποιητης και ντιπ για ντιπ μαλακας...	OFF
6165	826	Νικολα μου μην παραπονιεσαι που θα χασεις τα βουρλα του #poweroflovegr αυτη την βδομαδα! αντε βρε τυχερακια θα βλεπεις αλλα καλυτερα σουργελα! τους υποψηφιους! ΚΑΛΑ ΝΑ ΠΑΘΕΙΣ! #survivorGR #giatinparea!	OFF
6173	697	#Βενιζελος Ο ΒΡΩΜΕΡΟΤΕΡΟΣ ΚΑΙ ΑΝΗΘΙΚΟΤΕΡΟΣ πολιτικός της Μεταπολίτευσης , αυτός που ΕΚΛΕΨΕ την ηγεσία του #Πασοκ για να βάλει την χώρα ΣΙΓΟΥΡΑ,ΓΙΑ ΠΑΝΤΑ, στα μνημονια και να ΚΑΤΑΛΗΣΤΕΨΕΙ τους Ελληνες, στον τελευταίο του προορισμό,τη #ΝΔ_ξεφτιλες και στη ΛΗΘΗ της ΙΣΤΟΡΙΑΣ.	OFF
6174	4227	@USER ΒΑΓΓΕΛΗ ΚΑΝΕ ΤΗΝ ΣΥΝΟΜΙΛΙΑ ΜΙΟΥΤ ΛΕΕΙ ΕΔΩ Η ΚΟΠΕΛΙΑ ΜΗ ΜΑΣ ΠΡΗΖΕΙΣ ΑΛΛΟ Τ'ΑΡΧΙΔΙΑ.	OFF
6179	9445	Πρόλαβε η άλλη στα 21 να είναι επιφυλακτική με τους άντρες. Ρε ΑΣΤΑΔΙΑΛΑ... #TheVoiceGR	OFF
6184	9076	Όσο Έλληνας είναι ο Αντετοκούμπο άλλο τόσο είναι κ αυτός μάλιστα βρήκαν κ την γυναίκα του ξερναωωω για ν πείσουν τα πρόβατα ότι δείτε υπάρχουν κ Έλληνες τζιχαντιστές κ σ λίγο καιρό θ πουν δεν πειράζει αφού έχετε κ εσείς τζιχαντιστές για τους λαθρο #ΝΔ_ξεφτιλες #συριζα_ξεφτιλες	OFF
6200	8305	@USER Κόκκινοφασιστα γιατί κλαψουριζεις αφού στα λόγια μου ήρθες. Διάβασες 2 3 πράγματα και κατάλαβες ότι η Ελλάδα είναι Μακεδονία και η Μακεδονία είναι ήταν και θα είναι πάντα Ελλάδα τα απέδειξες όλα μια χαρά γιατί σκας; αριστερό μου αρχιδι;	OFF
6211	9002	@USER γυναίκα για γάμο σκωληξ ψωμί τυρί ντομάτα καθάρισες	OFF
6212	8892	Η Μαριτινα δαγκώθηκε και ξέχασε να πάρει αντίδοτο η έχιδνα #gntmgr	OFF
6213	5536	Που να σε φάει ο γυρολιμος παλιοΜαρτινα #gntmgr	OFF
6219	9878	@USER Καλώς τα αρχιδια μας τα δύο	OFF
6223	55	@USER Τώρα φάγατε μια μεγάλη πουτσα το Ιούνιο θα σας γαμησου με	OFF
6238	3583	"Αυτή είναι τραβεστί ""Δεξιά"" ...ψοφοδεξιά των ΝουΔαίων #ΝΔ_ξεφτιλες"	OFF
6239	3900	@USER Κάποια στιγμή ο Αδελφός Χίτλερ όταν τελείωναν οι προμήθειες στα σύνορα στην Πολωνία.....έδωσε εντολή να σκοτώσουν τους χοντρούς του στρατιώτες....μετά τους καραφλους και μετά τους ηλίθιους.... Όπως καταλαβαίνεις @USER είσαι και στα 3 μέσα.....#ΝΔ_πανικοςΗττας #ΝΔ_ξεφτιλες	OFF
6244	6229	Ένα πόνημα του Παντελή Μπουκάλα για τους πρόσφυγες και τους σκατάνθρωπους έλληνες συμπολίτες με την ΕΕ των μεγάλων συμφερόντων .	OFF
6252	7663	Ο δικηγορος των κουκουλοφόρων ηταν κ δικηγορος του Κασιδιάρη. Ο «φασίστας» Σαμαράς, τον σούταρε γι αυτον τον λογο. Φαίνεται εκνευρίστηκε ο Σαράκης κ σκέφτηκε να τον βάλει φυλακή.....	OFF
6255	3430	Έχετε Καταλάβει πως το #ερχεται_ΠΟΥΤΣΑ το λέτε για τον δικό σας κωλο που ψηφίσατε ΣΥΡΙΖΑ με χέρι α και πόδια το 2015. Αν ισχύει και βγει τελικά ο Κουλης το ζαβό έρχεται όντως πουτσα ηλίθιοι! #Ευρωεκλογες2019 #ekloges2019 #ερχεται	OFF
6257	2670	Δικαιοσύνη: «Θύελλα» λέει, με την επιμονή της κυβέρνησης να ελέγξει την ηγεσία της Δικαιοσύνης: Ο ΣΥΡΙΖΑ θα πρέπει να σταματήσει να είναι ευγενικός. Η απάντηση του θα πρέπει να είναι: Το κανουμε γιατί μπορούμε και γιατί έτσι θέλουμε. Και άντε γαμηθειτε στο κάτω κάτω #ΝΔ_ξεφτιλες	OFF
6260	832	@USER Εσυ μιας και είσαι τρομοκρατολαγνα κ δολοφονολαγνα,μην ξεχάσεις να το ρίξεις στον υπερασπιστή δολοφόνων 11 αθωων ,αι σα περα στον βόθρο σου και στο αίμα που τρέχει από το στόμα σου	OFF
6263	3025	Τελικά, δε γαμιέται. Με τέτοιους υποψήφιους βουλευτές το ‘χουμε ήδη χάσει το παιγνίδι στην αριστερά.	OFF
6265	2222	@USER Ελληνουτσος,,, γιατί δεν πρέπει να είσαι μαλακας,, πρέπει να το αποδεικνύει ς και στην πράξη,️	OFF
6268	2692	Το μισό σίχαμα το έχετε πάρει στον Σύριζα. Εκτός αν μιλάς για εσωτερική κάθαρση, που δεν το νομίζω	OFF
6274	6071	Εντάξει παπάρες οι Γιαννουληδες αυτού του κόσμου εννοείται, αλλά πόσο μαλακας πρέπει να σαι για να στήνεις μπάρμπεκιου απέναντι από καταυλισμό μουσουλμάνων.	OFF
6277	1999	"Καλοθελητές θυμήθηκαν(αμεσως!),ολες τις μαλακίες Βενιζελου!ΣΩΣΤΑ!Δειξτε μου εναν ""Αγιο""ρε μαλακες!Ανατροπη σε ολα λεμε!Ειστε μεσα;"	OFF
6281	7919	@USER Σιγά μην σκίσεις κανένα καλτσόν μωρή...	OFF
6282	8429	Σουζάνα μην το εκλάβεις ως bullying αλλά είσαι ΗΛΙΘΙΑ #gntmgr	OFF
6287	4871	κερα Βίκυ μας έπρηξες με τα αγγλικά,eat some shits #GNTMgr	OFF
6295	9527	@USER Καλή η πουτσα;	OFF
